country,region_name,link
"Polska","Jura Krakowsko-Częstochowska","https://wspinanie.pl/topo2/page,topo-rejony,rejon,15.html"
"Polska","Pomorze","https://wspinanie.pl/topo2/page,topo-rejony,rejon,114.html"
"Polska","Sudety","https://wspinanie.pl/topo2/page,topo-rejony,rejon,117.html"
"Polska","Tatry","https://wspinanie.pl/topo2/page,topo-rejony,rejon,119.html"
"Polska","Podkarpacie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,130.html"
"Polska","Podhale","https://wspinanie.pl/topo2/page,topo-rejony,rejon,139.html"
"Polska","Beskidy","https://wspinanie.pl/topo2/page,topo-rejony,rejon,169.html"
"Polska","Rejony podkieleckie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,183.html"
"Polska","okolice Myślenic","https://wspinanie.pl/topo2/page,topo-rejony,rejon,473.html"
"Polska","Zachodnio-pomorskie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,475.html"
"Polska","Garb Tarnogórski","https://wspinanie.pl/topo2/page,topo-rejony,rejon,547.html"
"Polska","Północne Mazury","https://wspinanie.pl/topo2/page,topo-rejony,rejon,599.html"
