country,region_name,subregion_name,link
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","https://wspinanie.pl/topo2/page,topo-rejony,rejon,20.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Północna","https://wspinanie.pl/topo2/page,topo-rejony,rejon,108.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Środkowa","https://wspinanie.pl/topo2/page,topo-rejony,rejon,167.html"
"Polska","Jura Krakowsko-Częstochowska","Kamieniołom Sucha Góra","https://wspinanie.pl/topo2/page,topo-rejony,rejon,548.html"
"Polska","Pomorze","Szczecin","https://wspinanie.pl/topo2/page,topo-rejony,rejon,115.html"
"Polska","Pomorze","Brętowo","https://wspinanie.pl/topo2/page,topo-rejony,rejon,415.html"
"Polska","Pomorze","Rutki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,416.html"
"Polska","Sudety","Karkonosze","https://wspinanie.pl/topo2/page,topo-rejony,rejon,13.html"
"Polska","Sudety","Hejszowina","https://wspinanie.pl/topo2/page,topo-rejony,rejon,123.html"
"Polska","Sudety","Rudawy Janowickie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,175.html"
"Polska","Sudety","Chwałków","https://wspinanie.pl/topo2/page,topo-rejony,rejon,255.html"
"Polska","Sudety","Kotlina Kłodzka","https://wspinanie.pl/topo2/page,topo-rejony,rejon,420.html"
"Polska","Sudety","Pełcznica","https://wspinanie.pl/topo2/page,topo-rejony,rejon,544.html"
"Polska","Sudety","Spękane Skały","https://wspinanie.pl/topo2/page,topo-rejony,rejon,595.html"
"Polska","Tatry","Tatry Wysokie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,120.html"
"Polska","Tatry","Tatry","https://wspinanie.pl/topo2/page,topo-rejony,rejon,535.html"
"Polska","Podkarpacie","Kamień Leski","https://wspinanie.pl/topo2/page,topo-rejony,rejon,121.html"
"Polska","Podkarpacie","Rożnów","https://wspinanie.pl/topo2/page,topo-rejony,rejon,136.html"
"Polska","Podkarpacie","Kombornia","https://wspinanie.pl/topo2/page,topo-rejony,rejon,179.html"
"Polska","Podkarpacie","Krajowice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,180.html"
"Polska","Podkarpacie","Żurowa","https://wspinanie.pl/topo2/page,topo-rejony,rejon,455.html"
"Polska","Podkarpacie","Czarnorzeckie Skały","https://wspinanie.pl/topo2/page,topo-rejony,rejon,463.html"
"Polska","Podhale","Jaroniec","https://wspinanie.pl/topo2/page,topo-rejony,rejon,140.html"
"Polska","Podhale","Przełom Białki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,144.html"
"Polska","Podhale","Dolina Lejowa","https://wspinanie.pl/topo2/page,topo-rejony,rejon,610.html"
"Polska","Beskidy","Mutne","https://wspinanie.pl/topo2/page,topo-rejony,rejon,170.html"
"Polska","Beskidy","Kobyla Skała","https://wspinanie.pl/topo2/page,topo-rejony,rejon,411.html"
"Polska","Beskidy","Straconka","https://wspinanie.pl/topo2/page,topo-rejony,rejon,458.html"
"Polska","Rejony podkieleckie","Stokówka","https://wspinanie.pl/topo2/page,topo-rejony,rejon,184.html"
"Polska","okolice Myślenic","Borzęta","https://wspinanie.pl/topo2/page,topo-rejony,rejon,474.html"
"Polska","Zachodnio-pomorskie","Szczecinek","https://wspinanie.pl/topo2/page,topo-rejony,rejon,476.html"
"Polska","Północne Mazury","Gołdap","https://wspinanie.pl/topo2/page,topo-rejony,rejon,600.html"
